ISIN,TimePeriod,ruleid,CapitalListed,High,Interest,IssuerID,LastRate,Low,MarketCap,MaturityDate,Name,OpeningPrice,SecurityID,SecurityType,Symbol,Transactions,Turnover,Volume,bool_var,errorcode,errorlevel
IL0011847790,2024-02-05,r1,369272000.0,102.72,1.0,1636,102.29,102.11,377728.0,2029-07-01,ELDAN TRANS B7,102.19,1184779,Bonds,ELDT.B7,147.0,1260.08,1231073.0,True,,
IL0011924425,2024-02-05,r1,589777200.0,104.17,3.23,1636,104.11,103.82,614017.0,2029-09-30,ELDAN TRANS B8,103.98,1192442,Bonds,ELDT.B8,114.0,1572.81,1511362.0,True,,
IL0011924599,2024-02-05,r1,538115400.0,101.43,5.65,1636,101.35,101.3,545380.0,2030-09-30,ELDAN TRANS B9,101.42,1192459,Bonds,ELDT.B9,95.0,713.73,703893.0,True,,
IL0010836588,2024-02-05,r1,35780194.0,0.0,,1088,200.0,0.0,71560.0,,ELDAV-M,200.0,1083658,Shares,ELDAV-M,0.0,0.0,0.0,True,,
IL0007390375,2024-02-05,r1,3839407.0,137690.0,,739,134160.0,133770.0,5150948.0,,ELECTRA,135000.0,739037,Shares,ELTR,486.0,2568.37,1904.0,True,,
IL0073901493,2024-02-05,r1,197636477.0,99.37,4.0,739,99.34,99.13,196332.0,2026-06-30,ELECTRA      B4,99.13,7390149,Bonds,ELTR.B4,97.0,293.86,295869.0,True,,
IL0073902228,2024-02-05,r1,677480189.0,97.46,4.0,739,97.33,97.26,659391.0,2031-01-10,ELECTRA B5,97.44,7390222,Bonds,ELTR.B5,122.0,857.6,880792.0,True,,
IL0073902632,2024-02-05,r1,410700000.0,84.29,2.07,739,84.15,84.0,345604.0,2035-12-10,ELECTRA B6,84.29,7390263,Bonds,ELTR.B6,56.0,643.27,764234.0,True,,
IL0050101299,2024-02-05,r1,23228385.0,7712.0,,501,7562.0,7502.0,1756530.0,,ELECTRA CO  PR,7502.0,5010129,Shares,ECP,618.0,1226.72,16141.0,True,,
IL0050103352,2024-02-05,r1,574040375.0,90.78,2.1,501,90.58,90.5,519966.0,2029-12-31,ELECTRA CO B1,90.78,5010335,Bonds,EFP.B1,121.0,1032.09,1138826.0,True,,
IL0011673600,2024-02-05,r1,216243750.0,89.06,1.92273,1804,88.89,88.87,192219.0,2031-05-30,ELECTRA POW B1,89.06,1167360,Bonds,ELCP.B1,95.0,243.21,273511.0,True,,
IL0011819245,2024-02-05,r1,220000000.0,86.03,1.99,1804,85.9,85.75,188980.0,2033-06-30,ELECTRA POW B2,86.03,1181924,Bonds,ELCP.B2,65.0,42.02,48920.0,True,,
IL0011669178,2024-02-05,r1,17891880.0,2340.0,,1804,2320.0,2301.0,415092.0,,ELECTRA POWER,2282.0,1166917,Shares,ELCP,14.0,8.77,378.0,True,,
IL0011385932,2024-02-05,r1,33829022.0,100.61,5.55,1264,100.61,100.61,34035.0,2024-07-05,ELECTRA REAL B5,100.55,1138593,Bonds,ELCRE.B5,1.0,5.03,5000.0,True,,
IL0011745648,2024-02-05,r1,512048017.0,92.75,2.85,1264,92.61,92.49,474208.0,2030-05-30,ELECTRA REAL B6,92.71,1174564,Bonds,ELCRA.B6,141.0,998.79,1078705.0,True,,
IL0012035536,2024-02-05,r1,150000000.0,99.93,6.07,1264,99.82,99.8,149730.0,2034-11-30,ELECTRA REAL B7,99.91,1203553,Bonds,ELCRA.B7,40.0,1048.83,1050390.0,True,,
IL0010940448,2024-02-05,r1,60084208.0,3728.0,,1264,3651.0,3616.0,2193674.0,,ELECTRA REAL E.,3650.0,1094044,Shares,ELCRE,414.0,1626.08,44263.0,True,,
IL0003680191,2024-02-05,r1,11347927.0,9632.0,,368,9258.0,8498.0,1050591.0,,ELECTREON,8483.0,368019,Shares,ELWS,1856.0,16982.95,183650.0,True,,
IL0011967812,2024-02-05,r1,2556084000.0,102.84,3.0,600,102.6,102.5,2622542.0,2033-06-12,ELECTRIC B34,102.67,1196781,Bonds,ELEC.B34,182.0,2732.65,2662696.0,True,,
